date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:22	41904/41904	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202022%2007:30:22%20GMT	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html	(from )
13:00:23	1002/1002	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202022%2007:30:23%20GMT	https://demo.w3layouts.com/robots.txt		(from )
13:00:25	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/jquery-1.11.1.min.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/jquery-1.11.1.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:26	69707/69707	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/bootstrap.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/bootstrap.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:26	146020/146020	---M-Z	200	added ('OK')	text/css	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/bootstrap.css	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:27	4723/4723	---M-Z	200	added ('OK')	text/css	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/easy-responsive-tabs.css	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/easy-responsive-tabs.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:28	34460/34460	---M-Z	200	added ('OK')	text/css	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/style.css	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:29	5918/5918	---M-Z	200	added ('OK')	text/css	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/gallery.css	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/gallery.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:30	2246/2246	---MC-	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202022%2007:30:30%20GMT	http://fonts.googleapis.com/css?family=Titillium+Web:200,200i,300,300i,400,400i,600,600i,700,700i,900	/home/kumartej/websites/medico4/fonts.googleapis.com/css3059.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:31	1749/1749	---MC-	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202022%2007:30:31%20GMT	http://fonts.googleapis.com/css?family=Lato:100,100i,300,300i,400,400i,700,700i,900,900i	/home/kumartej/websites/medico4/fonts.googleapis.com/css7fc9.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:32	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/font-awesome.css	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/font-awesome.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:33	8496/8496	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/modernizr.custom.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/modernizr.custom.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:34	9376/9376	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/modernizr.custom.79639.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/modernizr.custom.79639.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:35	13846/13846	---M-Z	200	added ('OK')	text/css	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/custom.css	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/css/custom.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:36	1330/1330	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/move-top.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/move-top.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:37	4758/4758	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/easing.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/easing.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:39	67568/67568	---MCZ	200	added ('OK')	application/javascript	etag:W/%224896c8077f50520418d4d1ab293b6545%22	http://m.servedby-buysellads.com/monetization.js	/home/kumartej/websites/medico4/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:39	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	/home/kumartej/websites/medico4/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:40	1930/1930	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/main.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/main.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
13:00:41	3396/3396	---M-Z	200	added ('OK')	application/javascript	etag:%221505847593%22	https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/responsiveslides.js	/home/kumartej/websites/medico4/demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/js/responsiveslides.js	(from https://demo.w3layouts.com/demos_new/template_demo/22-06-2017/medicate-demo_Free/2121820411/web/index.html)
